"vehicleType","vehicleCarFrame","vehicleCarBrand","vehicleModel","vehicleDischarge","vehicleImported","vehicleRegistration","vehicleCarPlate","companyId","companyName","status","order"
"V","WJMM1VTH60C344939","IVECO","STRALIS","0%","","","",1,"Cristallo srls","published",""
"C","WJMM1VUH404393497","IVECO","STRALIS","100%","","10/05/2012","",1,"Cristallo srls","published",""
"V","WL00AHL4865017611","OPEL","ASTRA","0%","","","",1,"Cristallo srls","published",""
"V","WMWZG31010TY43025","MINI","MINI","0%","","","",1,"Cristallo srls","published",""
"V","WP1ZZZ95ZJLB46270","PORSCHE","MACAN","0%","","","",1,"Cristallo srls","published",""
"C","WV1ZZZ2KZGX132984","VOLKSWAGEN","CADDY","100%","","","",1,"Cristallo srls","published",""
"V","WV1ZZZSY3P9046910","VOLKSWAGEN","CRAFTER","0%","","","",1,"Cristallo srls","published",""
"V","WV2ZZZ70ZSH038090","VOLKSWAGEN","TRANSPORTER","0%","","01/01/1995","",1,"Cristallo srls","published",""
"V","WV2ZZZ7HZ9H013352","VOLKSWAGEN","TRANSPORTER","0%","","","",1,"Cristallo srls","published",""
"V","WV2ZZZ7HZPH056639","VOLKSWAGEN","CALIFORNIA","0%","","","",1,"Cristallo srls","published",""
"V","WV2ZZZ7HZPH059010","VOLKSWAGEN","TRANSPORTER","0%","","","",1,"Cristallo srls","published",""
"V","WV2ZZZ7HZPH082922","VOLKSWAGEN","TRANSPORTER","0%","","","",1,"Cristallo srls","published",""
"V","WV2ZZZSTOPH012218","VOLKSWAGEN","MULTIVAN","0%","","","",1,"Cristallo srls","published",""
"V","WVGZZZ1TZ6W021978","VOLKSWAGEN","TOURAN","0%","","","",1,"Cristallo srls","published",""
"V","WVGZZZ1TZAW030683","VOLKSWAGEN","TOURAN","0%","","","",1,"Cristallo srls","published",""
"V","WVGZZZ5N7PW420878","VOLKSWAGEN","TIGUAN","0%","","","",1,"Cristallo srls","published",""
"V","WVGZZZC1ZNY055889","VOLKSWAGEN","T-CROSS","0%","","","",1,"Cristallo srls","published",""
"V","WVGZZZCRZND029338","VOLKSWAGEN","TOUAREG","0%","","","",1,"Cristallo srls","published",""
"V","WVWZZZ1KZ7W215724","VOLKSWAGEN","GOLF","0%","","","",1,"Cristallo srls","published",""
"V","WVWZZZ3BZYE251502","VOLKSWAGEN","PASSAT","0%","","","",1,"Cristallo srls","published",""
"V","WVWZZZ3CZ9E120377","VOLKSWAGEN","PASSAT","0%","","","",1,"Cristallo srls","published",""
"V","WVWZZZ3CZME056194","VOLKSWAGEN","PASSAT","0%","","","",1,"Cristallo srls","published",""
"V","WVWZZZ6RZFY242859","VOLKSWAGEN","POLO","0%","","","",1,"Cristallo srls","published",""
"V","WVWZZZ6RZHY247266","VOLKSWAGEN","POLO","0%","","","",1,"Cristallo srls","published",""
"V","WVWZZZ9CZ3M603792","VOLKSWAGEN","NEW BEETLE","0%","","","",1,"Cristallo srls","published",""
"V","WVWZZZ9NZ4Y196956","VOLKSWAGEN","POLO","0%","","","",1,"Cristallo srls","published",""
"V","WVWZZZ9NZ6Y207900","VOLKSWAGEN","POLO","0%","","","",1,"Cristallo srls","published",""
"V","WVWZZZAUZGP001033","VOLKSWAGEN","GOLF","0%","","","",1,"Cristallo srls","published",""
"V","WVWZZZAUZGW272527","VOLKSWAGEN","GOLF","0%","","","",1,"Cristallo srls","published",""
"V","WVWZZZAUZHW375463","VOLKSWAGEN","GOLF","0%","","","",1,"Cristallo srls","published",""
"V","WVWZZZAUZJW273730","VOLKSWAGEN","GOLF","0%","","","",1,"Cristallo srls","published",""
"V","WVWZZZAUZKW073741","VOLKSWAGEN","GOLF","0%","","","",1,"Cristallo srls","published",""
"V","WVWZZZAUZLW010689","VOLKSWAGEN","GOLF","0%","","","",1,"Cristallo srls","published",""
"V","WVWZZZAWZMU059608","VOLKSWAGEN","POLO","0%","","","",1,"Cristallo srls","published",""
"V","WVWZZZAWZMY037204","VOLKSWAGEN","POLO","0%","","","",1,"Cristallo srls","published",""
"V","YV1DZ40LCH2126906","VOLVO","XC60","0%","","","",1,"Cristallo srls","published",""
"V","YV1LCL1UCL1585994","VOLVO","XC90","0%","","","",1,"Cristallo srls","published",""
"V","YV1RS65P222152998","VOLVO","S60","0%","","","",1,"Cristallo srls","published",""
"V","YV1XZBWV2P2076007","VOLVO","XC40","0%","","","",1,"Cristallo srls","published",""
"V","ZACPJCVP5MPR46918","JEEP","COMPASS","0%","","","",1,"Cristallo srls","published",""
"V","ZAR93900007135019","ALFA ROMEO","159","0%","","","",1,"Cristallo srls","published",""
"C","ZAR94000007083594","ALFA ROMEO","GIULIETTA","100%","","","",1,"Cristallo srls","published",""
"V","ZAREAFDN7M7643430","ALFA ROMEO","GIULIA","0%","","","",1,"Cristallo srls","published",""
"V","ZCFA75A1002332444","IVECO","DAILY","0%","","","",1,"Cristallo srls","published",""
"V","ZCFC3572005245658","IVECO","DAILY","0%","","","",1,"Cristallo srls","published",""
"V","ZCFC3593005865985","IVECO","DAILY","0%","","","",1,"Cristallo srls","published",""
"V","ZCFC3593005885985","IVECO","DAILY","0%","","","",1,"Cristallo srls","published",""
"V","ZE8T354IRN0300977","BREMACH ","3500","0%","","","",1,"Cristallo srls","published",""
"V","ZFA14600006803524","FIAT","UNO","0%","","","",1,"Cristallo srls","published",""
"V","ZFA16900001529073","FIAT","PANDA","0%","","","",1,"Cristallo srls","published",""
"V","ZFA16900001668257","FIAT","PANDA","0%","","","",1,"Cristallo srls","published",""
"V","ZFA16900001851083","FIAT","PANDA","0%","","","",1,"Cristallo srls","published",""
"V","ZFA16900004118567","FIAT","PANDA","0%","","","",1,"Cristallo srls","published",""
"V","ZFA18700000800971","FIAT","SEICENTO","0%","","","",1,"Cristallo srls","published",""
"V","ZFA19400002096715","FIAT","CROMA","0%","","","",1,"Cristallo srls","published",""
"V","ZFA19800004131974","FIAT","BRAVO","0%","","","",1,"Cristallo srls","published",""
"V","ZFA1980000415593301","FIAT","BRAVO","0%","","","",1,"Cristallo srls","published",""
"V","ZFA22500006K88828","FIAT","FIORINO","0%","","","",1,"Cristallo srls","published",""
"V","ZFA25000001208523","FIAT","DUCATO","0%","","","",1,"Cristallo srls","published",""
"V","ZFA25000001857915","FIAT","DUCATO","0%","","","",1,"Cristallo srls","published",""
"V","ZFA25000002754050","FIAT","DUCATO","0%","","","",1,"Cristallo srls","published",""
"V","ZFA25000002B17427","FIAT","DUCATO","0%","","","",1,"Cristallo srls","published",""
"R","ZFA25000002V50065","PILOTE","G740GJ ","0%","","","",1,"Cristallo srls","published",""
"V","ZFA25000002V83909","FIAT","DUCATO","0%","","","",1,"Cristallo srls","published",""
"V","ZFA26300009011651","FIAT","DOBLO'","0%","","","",1,"Cristallo srls","published",""
